name,repo_name,login,contributions
kickstarter/android-oss,kickstarter/android-oss,eoji,29
spockframework/spock,spockframework/spock,leonard84,28
hazelcast/hazelcast,hazelcast/hazelcast,blazember,28
Polidea/RxAndroidBle,Polidea/RxAndroidBle,uKL,28
MinecraftForge/MinecraftForge,MinecraftForge/MinecraftForge,sokratis12GR,28
reactor/reactor-core,reactor/reactor-core,smaldini,28
elastic/elasticsearch,elastic/elasticsearch,dadoonet,28
apache/zookeeper,apache/zookeeper,mfenes,28
apache/zeppelin,apache/zeppelin,felixcheung,28
stanfordnlp/CoreNLP,stanfordnlp/CoreNLP,J38,28
resilience4j/resilience4j,resilience4j/resilience4j,storozhukBM,28
apache/storm,apache/storm,roshannaik,27
SonarSource/sonarqube,SonarSource/sonarqube,julienlancelot,27
hazelcast/hazelcast,hazelcast/hazelcast,lprimak,27
lingochamp/FileDownloader,lingochamp/FileDownloader,Jacksgong,27
eclipse/che,eclipse/che,akurinnoy,27
apache/zeppelin,apache/zeppelin,asfgit,27
spring-projects/spring-boot,spring-projects/spring-boot,mbhave,27
raphw/byte-buddy,raphw/byte-buddy,raphw,27
MinecraftForge/MinecraftForge,MinecraftForge/MinecraftForge,jabelar,27
azkaban/azkaban,azkaban/azkaban,jamiesjc,27
hankcs/HanLP,hankcs/HanLP,hankcs,27
ethereum/ethereumj,ethereum/ethereumj,zilm13,26
bazelbuild/bazel,bazelbuild/bazel,lberki,26
greenrobot/greenDAO,greenrobot/greenDAO,greenrobot-team,26
h2oai/h2o-3,h2oai/h2o-3,wendycwong,26
mockito/mockito,mockito/mockito,TimvdLippe,26
hazelcast/hazelcast,hazelcast/hazelcast,pveentjer,26
gocd/gocd,gocd/gocd,bdpiparva,26
jenkinsci/jenkins,jenkinsci/jenkins,reviewbybees,26
eugenp/tutorials,eugenp/tutorials,KevinGilmore,26
